Energy StoppingPower
1.000E-03 4.245E+02 
1.500E-03 4.351E+02 
2.000E-03 4.448E+02 
2.500E-03 4.545E+02 
3.000E-03 4.642E+02 
4.000E-03 4.839E+02 
5.000E-03 5.037E+02 
6.000E-03 5.232E+02 
7.000E-03 5.425E+02 
8.000E-03 5.613E+02 
9.000E-03 5.797E+02 
1.000E-02 5.977E+02 
1.250E-02 6.409E+02 
1.500E-02 6.818E+02 
1.750E-02 7.206E+02 
2.000E-02 7.576E+02 
2.250E-02 7.929E+02 
2.500E-02 8.268E+02 
2.750E-02 8.593E+02 
3.000E-02 8.907E+02 
3.500E-02 9.503E+02 
4.000E-02 1.006E+03 
4.500E-02 1.059E+03 
5.000E-02 1.109E+03 
5.500E-02 1.157E+03 
6.000E-02 1.203E+03 
6.500E-02 1.247E+03 
7.000E-02 1.289E+03 
7.500E-02 1.329E+03 
8.000E-02 1.368E+03 
8.500E-02 1.406E+03 
9.000E-02 1.442E+03 
9.500E-02 1.477E+03 
1.000E-01 1.511E+03 
1.250E-01 1.667E+03 
1.500E-01 1.802E+03 
1.750E-01 1.920E+03 
2.000E-01 2.023E+03 
2.250E-01 2.115E+03 
2.500E-01 2.195E+03 
2.750E-01 2.265E+03 
3.000E-01 2.326E+03 
3.500E-01 2.424E+03 
4.000E-01 2.496E+03 
4.500E-01 2.545E+03 
5.000E-01 2.577E+03 
5.500E-01 2.593E+03 
6.000E-01 2.597E+03 
6.500E-01 2.591E+03 
7.000E-01 2.577E+03 
7.500E-01 2.558E+03 
8.000E-01 2.533E+03 
8.500E-01 2.504E+03 
9.000E-01 2.472E+03 
9.500E-01 2.437E+03 
1.000E+00 2.401E+03 
1.250E+00 2.215E+03 
1.500E+00 2.037E+03 
1.750E+00 1.876E+03 
2.000E+00 1.732E+03 
2.250E+00 1.607E+03 
2.500E+00 1.500E+03 
2.750E+00 1.409E+03 
3.000E+00 1.329E+03 
3.500E+00 1.198E+03 
4.000E+00 1.092E+03 
4.500E+00 1.005E+03 
5.000E+00 9.329E+02 
5.500E+00 8.714E+02 
6.000E+00 8.184E+02 
6.500E+00 7.721E+02 
7.000E+00 7.313E+02 
7.500E+00 6.950E+02 
8.000E+00 6.626E+02 
8.500E+00 6.333E+02 
9.000E+00 6.068E+02 
9.500E+00 5.827E+02 
1.000E+01 5.606E+02 
1.250E+01 4.731E+02 
1.500E+01 4.110E+02 
1.750E+01 3.645E+02 
2.000E+01 3.282E+02 
2.500E+01 2.750E+02 
2.750E+01 2.549E+02 
3.000E+01 2.377E+02 
3.500E+01 2.100E+02 
4.000E+01 1.885E+02 
4.500E+01 1.713E+02 
5.000E+01 1.573E+02 
5.500E+01 1.455E+02 
6.000E+01 1.356E+02 
6.500E+01 1.270E+02 
7.000E+01 1.195E+02 
7.500E+01 1.130E+02 
8.000E+01 1.072E+02 
8.500E+01 1.020E+02 
9.000E+01 9.736E+01 
9.500E+01 9.316E+01 
1.000E+02 8.934E+01 
1.250E+02 7.450E+01 
1.500E+02 6.427E+01 
1.750E+02 5.677E+01 
2.000E+02 5.102E+01 
2.250E+02 4.646E+01 
2.500E+02 4.276E+01 
2.750E+02 3.969E+01 
3.000E+02 3.710E+01 
3.500E+02 3.298E+01 
4.000E+02 2.982E+01 
4.500E+02 2.734E+01 
5.000E+02 2.533E+01 
5.500E+02 2.366E+01 
6.000E+02 2.226E+01 
6.500E+02 2.107E+01 
7.000E+02 2.005E+01 
7.500E+02 1.915E+01 
8.000E+02 1.836E+01 
8.500E+02 1.767E+01 
9.000E+02 1.705E+01 
9.500E+02 1.649E+01 
1.000E+03 1.599E+01
